id,label,comment,ancestors,supertypes,subtypes,properties
SocialEvent,Social Event,Event type: Social event.,Thing Event,Event,,
LodgingBusiness,Lodging Business,"A lodging business, such as a motel, hotel, or inn.",Thing Organization LocalBusiness,LocalBusiness,BedAndBreakfast Hostel Hotel Motel,
Bakery,Bakery,A bakery.,Thing Organization LocalBusiness FoodEstablishment,FoodEstablishment,,
Landform,Landform,"A landform or physical feature.  Landform elements include mountains, plains, lakes, rivers, seascape and oceanic waterbody interface features such as bays, peninsulas, seas and so forth, including sub-aqueous terrain features such as submersed mountain ranges, volcanoes, and the great ocean basins.",Thing Place,Place,BodyOfWater Continent Mountain Volcano,
StadiumOrArena,Stadium or Arena,A stadium.,Thing Place CivicStructure,CivicStructure SportsActivityLocation,,
Organization,Organization,"An organization such as a school, NGO, corporation, club, etc.",Thing,Thing,Corporation EducationalOrganization GovernmentOrganization LocalBusiness NGO PerformingGroup SportsTeam,address aggregateRating contactPoints email employees events faxNumber founders foundingDate interactionCount location members reviews telephone
SaleEvent,Sale Event,Event type: Sales event.,Thing Event,Event,,
MiddleSchool,Middle School,A middle school.,Thing Organization EducationalOrganization,EducationalOrganization,,
HardwareStore,Hardware Store,A hardware store.,Thing Organization LocalBusiness Store,Store,,
FurnitureStore,Furniture Store,A furniture store.,Thing Organization LocalBusiness Store,Store,,
Rating,Rating,The rating of the video.,Thing Intangible,Intangible,AggregateRating,bestRating ratingValue worstRating
SportsClub,Sports Club,A sports club.,Thing Organization LocalBusiness SportsActivityLocation,SportsActivityLocation,,
BlogPosting,Blog Posting,A blog post.,Thing CreativeWork Article,Article,,
Volcano,Volcano,"A volcano, like Fuji san",Thing Place Landform,Landform,,
MusicEvent,Music Event,Event type: Music event.,Thing Event,Event,,
FoodEstablishment,Food Establishment,A food-related business.,Thing Organization LocalBusiness,LocalBusiness,Bakery BarOrPub Brewery CafeOrCoffeeShop FastFoodRestaurant IceCreamShop Restaurant Winery,acceptsReservations menu servesCuisine
ComedyClub,Comedy Club,A comedy club.,Thing Organization LocalBusiness EntertainmentBusiness,EntertainmentBusiness,,
MedicalClinic,Medical Clinic,A medical clinic.,Thing Organization LocalBusiness MedicalOrganization,MedicalOrganization,,
TelevisionStation,Television Station,A television station.,Thing Organization LocalBusiness,LocalBusiness,,
NightClub,Night Club,A nightclub or discotheque.,Thing Organization LocalBusiness EntertainmentBusiness,EntertainmentBusiness,,
CivicStructure,Civic Structure,"A public structure, such as a town hall or concert hall.",Thing Place,Place,Airport Aquarium Beach BusStation BusStop Campground Cemetery Crematorium EventVenue FireStation GovernmentBuilding Hospital MovieTheater Museum MusicVenue Park ParkingFacility PerformingArtsTheater PlaceOfWorship Playground PoliceStation RVPark StadiumOrArena SubwayStation TaxiStand TrainStation Zoo,openingHours
Book,Book,A book.,Thing CreativeWork,CreativeWork,,bookEdition bookFormat illustrator isbn numberOfPages
MusicGroup,Music Group,"A musical group, such as a band, an orchestra, or a choir. Can also be a solo musician.",Thing Organization PerformingGroup,PerformingGroup,,albums musicGroupMember tracks
ElementarySchool,Elementary School,An elementary school.,Thing Organization EducationalOrganization,EducationalOrganization,,
Campground,Campground,A campground.,Thing Place CivicStructure,CivicStructure,,
FoodEvent,Food Event,Event type: Food event.,Thing Event,Event,,
Playground,Playground,A playground.,Thing Place CivicStructure,CivicStructure,,
HairSalon,Hair Salon,A hair salon.,Thing Organization LocalBusiness HealthAndBeautyBusiness,HealthAndBeautyBusiness,,
Synagogue,Synagogue,A synagogue.,Thing Place CivicStructure PlaceOfWorship,PlaceOfWorship,,
